ID,Text,Actual Labels,Predicted Labels,Evaluation
48,DI KO NILALAHAT AH! PERO TRIGGERED NA TRIEGGERED NA TALAGA AKO EH! S/O SA MGA IMMA FANS JAN NA HALOS LAHAT MGA BABY BRA WARRIORS!! TANGINA NYO AH KUNG WALA KAYONG MAGANDANG MASABI MANAHIMIK NALANG KAYO PWEDE? NAKAKAHIYA KAYO EH! MADAMING MEANING ANG BTS FYI WAG KAYONG MEMA!,0,0,TN
49,Mag oopinion ka na nga lang mali mali pa bobo ka wala ka masabeng matino utak talangka,1,1,TP
50,Taong simabahan daw siya amputa pero ganyan ugali mo demonyo fvck you kala mo sinong banal,0,0,TN
51,kung umasta kayo para kayong mga matatandang ulol! gurang na kau neh! feeling teenager ang mga POTEK!,0,0,TN
52,PUTANGINA MO IVANA ALAWI! TINGIN KO SAYO 3RD WORLD VERSION NI BELLE DELPHINE! DAMI MONG NAUUTO POTA KA!,1,0,FN
53,"Muslim Patayin,Mosque Bombahin:By Edgar Matobato Ex.Davao Death Squad.",0,0,TN
54,"mga badjao, papangit niyo kasi lahat kayo kadiri",0,0,TN
55,Bat baga may bakla akong kapatid na isip bata punyeta okay sana kung bakla e kaso tangina ugali e,0,0,TN
56,TANGINA MO DUQUE GASLIGHT PA MORE TANGINA MO ANONG TRAVEL BAN TRAVEL BAN PINAGSASABI MO DIYAN TANGINA MO GAGO WALA KAYONG TRAVEL BAN NA NILABAS TANGINA MO HARAPANV GAGUHAN AMPUTANGINA,1,1,TP
57,tangina talaga ng mga gantong lalaki sa jeep. yung upo parang tatlo bayag nya ampota.,0,0,TN
58,Wow! Isara ang katoliko? At anu naman ang bubuksan pwet mo?!!!!!!!! Tang ina mo! Dapat dyan RIP GEMY MORALES JR .ULOL KA!,0,0,TN
59,TANGINANG PHILHEALTH ICOCOVER LANG NG BUO ANG MEDICAL BILLS HANGGANG APRIL 14 EH DUN PALANG MAGSASTART ANG MASS TESTING POTA,1,1,TP
60,"kapal ng mukha mo ulol.. Mas makasalanan kaung mga tga iglesia ni kristo, mga mukang pera",0,0,TN
61,PUTANGINA NYONG MGA LALAKI KAYO. GROW UP AND STOP GHOSTING!! YOU'RE A FUCKING HYPOCRITE,0,0,TN
62,ayun oh ok na sila ano akala niyo kawalan kayo basta tanda ko lahat paano niyo napakita pagiging kupal niyo tama na kayo bakla kayo nalang sa susunod mag siraan wag niyo na ako idamay,0,0,TN
63,"ISA PA TONG PLDT. KAKAAYOS LANG NG LINYA LAST WEEK, NAWAWALA NAMAN ANG INTERNET. PAKYU WANMILLION TAYMS!!",1,1,TP
64,GRABE KANG ABM NO. 11 NA PLAYER KANINA NG BBALL WALA AKONG PAKE KUNG MAGALING KA PUNYETA KA AMBAHO BAHO MO NAMAN NAPAKAYABANG MO. NAKITA NANG NAKAKAAPAK NG SAPATOS DIMAN LANG MAG SORRY. POGO KA PUNYETA NAPAKA YABANG,0,0,TN
65,TANGINA BAKIT ANG DAMING BOBO SA PILIPINAS!,0,1,FP
66,Putangina mo ba? Kadiri kang gago ka ulol pakyu pukingina mong boomer ka!,0,0,TN
67,Umay dito sa twitter shuta panget ka bonding ni elon,1,1,TP
68,Yucckk nakakadiri Yung Name mo Pang Igorot !!! ewww Before U bash Vicerylle Look at urself 1st !,0,0,TN
69,Mga Bobo at Tanga kasi kaya kahit ano ihaen sa kanila paniwalang paniwala,1,1,TP
70,Tangina naman yung Iglesia at El Shaddai na itutuloy yung block voting tapos magagalit pag tinawag mo na kulto (cult) 😂,0,0,TN
71,"Sa TOTOO Lang, gusto mong bigyan ng chance itong government na ito, pero tang-ina, araw-araw na lang, gaguhan eh. Tapos yung mga mananamba, go lang ng go.",1,1,TP
72,"POTA ILOKANO HIHI, PATAYIN NATIN EAN",0,0,TN
73,pukinginang mga muslim moots sobrang pathetic ,0,0,TN
74,There's a special place in hell para sa mga tricycle drivers na salot. Alam ko naman na kailangan natin lahat kumita pero bakit maraming tricycle drivers na magulang?!? Either hindi alam ang lugar or hindi alam kung magkano ang pamasahe... Bobo yarn?,1,1,TP
75,karma from buddhism is not original tangina gaya gaya lang yang relihiyon nyo from golden rule pukingina mo buddha,0,0,TN
76,"TNAGINA YUNG OFFICMATE KONG TAMAD! TAAS NG SWELDO PERO SAKSAKAN NG TAMAD. LAGING WALANG AMBAG SA TRABAHO, PANAY BREAK LANG INAATUPAG. ALISTO LANG SIYA SA KAINAN. ANG BAHO PA NANG HININGA TAPOS UTOT PA NG UTOT AT TUWANG TUWA PA SIYA. BASTOS PUTA!",0,1,FP
77,Sabunutan natin ang negrong kalbo! Hahhaha,0,0,TN
78,Ew kadiri amputa plastik tangina lait ng lait ng ibang tao sa harap ko mas kalait lait nmn itsura nya badjao tanga,0,0,TN
79,tangina iglesia ni cristo. umayos kayo ah. kakapal ng mukha amp,0,0,TN
80,nakakahiya tlga ugali ng mga ibang peenoise esp millenials wats wrong pipolets dna lng mgng proud s achievement nun tao pacyupo,0,0,TN
81,bwiset na bakla to ang kulet,0,0,TN
82,LEAVE THAT INC CHURCH THEY R CULTS ILL FUCKING SAY IT AGAIN FUCKING CULTS,0,0,TN
83,KAMUSTA MGA SUGO NI FELIX MANALO? TANGINA NYONG MGA INC SANA DI NA KAYO SIKATAN NG ARAW PUTA KAYO,0,0,TN
84,"tangina niyo mga baby bra warriors, magsilayas kayo ss ateneo! tangina niyo",0,0,TN
85,"maganda lang katawan mo beh, pero pangit mukha mo",0,0,TN
86,Punyeta kayong mga feeling entitled na mga chingchong na nagpapalaganap ng nCOV TANGA NIYONG LAHAT,0,0,TN
87,ikaw puTang inang babaeng pokpok ka wg mq sagarin dhil mAs puta aq sau!!!.. mkitaan lng kita ng ebedensyanG agAinst skn huhubaran kita..kya nepeperahan ka ng mga tomboy mo kc puro puke nilalatag mo!..,0,0,TN
88,"Tangina mo, pakialemara ka masyado tanga tanga ka utak talangka kang bobo ka!",1,1,TP
89,ano nanaman yan puta ka kakagising ko lang please ayusin mo bakla,0,0,TN
90,Puking ina din netong mga mukhang lalaking tomboy eh. Hype na yan nakikipag unahan pa sa babae umupo sa MRT.,0,0,TN
91,TANGINA NG MGA NAGMOMOTOR NA WALANG RESPETO SA MGA PEDESTRIAN AMPUTA MGA INUTIL KITA NIYONG RED LIGHT LILIKO KAYO SA INTERSECTION MGA HINAYUPAK NA GUNGGONG,1,1,TP
92,Bakla kalang GAGO bugok ulol isip Bata tanga HAHAHHAA,0,0,TN
93,Tangina ng mga straight na lalaki pano niyo nasisikmurang sabihin sa babae ang mga ganto?????? Hindi ko nilalahat pero dumadami lahi niyo eh ,0,0,TN
94,"hahahaha akala ata hindi sila papatulan porket matanda sila, idadamay pa ako sa init ng ulo niya sa asawa niya gago amputa",0,0,TN
95,Ha? Sana okay ka lang. BOBO MO UTAK TALANGKA KA. MAY ALAM KABA TALAGA SA VOLLEYBALL O MEMA KA LANG?,1,1,TP
96,PUTANGINAMO ELON NAPAKA PANGIT MO MAG DESISYON PUNYETA NAMAN,1,0,FN
97,Kuya:tangna ang itim mo gago M:wow gagi ikaw din k: kadiri ang itim natin negro igorot HAHAHAHHAA,0,0,TN
98,Puro karindihan na lang nakikita ko sa mga lgbt tangina wala bang hindi cringey at immature,0,0,TN
99,ang lakas mang dogshow pakyu mukha kang shokoy,0,0,TN
100,Pak-U ka..The Boomer teddy boy..PakYu..PakYu.. ,0,0,TN
101,punyeta wag mong hintayin maubos ako ako mismo mananakit sayo kahit matanda ka pa,0,0,TN
102,POTAENA ANG TOTOXIC NG MGA NAGLALARO NG ML NGAYON LALO NA SA MYTHIC HUHUHU WALA MATINO KALABAN UNINSTALL MUNA TAYO EPALOGS TALAGA E,1,0,FN
103,puta napaka pangit mo lang,0,0,TN
104,NAKAKALUNGKOT NA KAHIT SA SARILI NATING BANSA TAYO PARIN ANG MAG AADJUST KAHIT SA LENGGUWAHE. NAKAKAGALIT. ANDAMI PARING TANGA. OK LANG KUNG INGLES YAN DAHIL YUN TALAGA ANG PINAKA GINAGAMIT NG LAHAT PERO CHINGCHONG? TANGINANYO.,0,0,TN
105,"can say the same thing about hinduism like putangina their icon, mahatma ganhdi is a sex offender tangina talaga nila",0,0,TN
106,kung 'di ka lang din naman bobo kita mong pinatatahimik ko kasi nga magvvr ako ta's ganiyan sasabihin mo kesyo magiging pipi na naman kayo kasi 'di kayo makakapagsalita???? putangina pwedeng manahimik kahit saglit na saglit lang???? kakabatrip amputa tanda mo na ganiyan ka pa rin,0,0,TN
107,Say no To USA Culture and its people And AlSO Avoid Protestant Church they are from USA We Must Hate Them Sunugin natin sa impyerno,0,0,TN
108,yall filipinos r monkeys i never wondered why most yall nurses here,0,0,TN
109,kala mo naman talaga totoo dyos nila hoy mga katoliko puro kahoy lang yan sinasamba nyo dyan tangina nyo nagiimbento ng sariling relihiyon,0,0,TN
110,anga Tignan mo BACKGROUND mo ang taba mo BOBO ka talaga no!,0,0,TN
111,"TANGINANYO ANONG SINASABI MO NA DI KA MAPPROTEKTAHAN NG MASK SA MASAMANG ESPIRITU? IKAW AY ISANG TANGA, PUTANGINA KA! MGA ALAGAD NI QUIBOLOY NA TANGA! PUTANGINANYO! BWISETT!",0,0,TN
112,Ok millennial? Nakakahiya ka talaga sa mga kapwa mo millennials typical peenoise,0,0,TN
113,Hoy USA mga gago kayo at mga protestant sira ulo lahat kayo i love catholic and russia and china bye usa bugok,0,0,TN
114,"anyan ang mga pastor na bulaan ngayon! Mukhang pera pa, pagpapayaman lang alam, pagpapagawa ng kapilya Ganyan sa Sabadista, katoliko, Born Again",0,0,TN
115,"Putang inang mga chekwa talaga. Not only are you spreading viruses, you’re walking cancers to society as well",0,0,TN
116,"Kinginamo ekis kana samin, nakuha mo inis naming lahat. Wala kang utang na loob, tinuring ka ng kaibigan nagawa mo pang manira behind our back. Ikaw yung literal na hipon sza, sinasabi ko sayo dami umapproved na hipon ka talaga. Ipit suso ka?stay ka lang jan sa shota mong cheater",0,0,TN
117,"""evangelical pastors"" ah yung lider ba ng mga kulto ang pakikinggan natin? Tangina niyo",0,0,TN
118,tAnginA? twelve years old may ex na? gago mga panahong yon nagbebenta lang ako ng pogs tas kakalabanin ko yung bumili eh.,0,0,TN
119,TANGINUH TALAGA NG GURANG NA TO WALA KONG PAKI KUNG ANG DAMI MO NG KINAIN NA BIGAS WHATSOEVER SANA MABULUNAN KA,0,0,TN
120,"Gurl hahaha may koneksyon tatay mo sa drug lord but lezz just keep that no? HAHAHAHA pakyu. Bata ka pa lang bitch ka na, manang mana sa nanay mo.",0,0,TN
121,"pakyu, mukha kang etits.",0,0,TN
122,Ay sa putang inamoka ang ingay ingay mo wala ka namang ambag sa inyo. Napakabobo putang inamo wala kang kwenta. Bobo ka muka kang aso na may galis bobo. Tang inamo palamunin bobo tanga tanga,0,0,TN
123,PUTANGINAMONG BADING KA SA KABILANG DEPARTMENT NA MINESSAGE PA KO DAHIL DI AKO NAGFOLLOW BACK! CANCER POST MONG ENTITLED GAY LLAMA KA! IBOBLOCK KITA RIGHT AFTER YOUR LAST DAY HERE!,0,0,TN
124,TANGINANG PANELIST HINDI MAKUNTENTO SA MGA GINAGAWA NAMIN SA THESIS!!!,1,1,TP
125,Y some Christians be like “Yeah patayin them for they have sinned” But “Let those who have not sinned cast the first stone and if God can forgive why can’t we and who are we to judge”,0,0,TN
126,PAGBAKLA ka. below the belt na? HAHAHAH Tangina niyong mga LGBT e BAKLA ka naman talaga ah. HAHAHAGA,0,0,TN
127,putANGINA Mo POKPOK THE ACIDITY OF THIS BITCH TO LOOK CUTE WHILE WEARING NOTHING AT ALL,0,0,TN
128,puta bading si david,0,0,TN
129,kala mo bingi na di nadidinig lahat ng pinag babawal sarap tadyakan,0,0,TN
130,"TANGINA KA WALA DIN AKONG PAKIELAM SA GENERATION NIYO HA TANGINA IBA PANAHON NIYONG MGA BOBO BOOMER KUMPARA NGAYON, SABIHIN NALANG NATIN KAYA SOBRANG HIRAP NG BUHAY NGAYON DAHIL SA MGA KATARANTADUHAN NUNG LINTEK NIYONG GENERATION DAHIL NASIRA ANG JOB CULTURE DAHIL SA TANGINANG PANANAW NIYO SA BUHAY",0,0,TN
131,"ISA KA PA EDSEL SALVANA INUUNA MO RIN PULITIKA KAYSA PAGIGING DOKTOR, ""WE CONTAINED THIS"" MY ASS TAPOS ANGBILIS MAKAKUDA NG THIS SHOWS THE EFFECTS OF ECQ TANGINA MO DI NIYO NGA TINETEST LAHAT NG PUI/PUM TAPOS SASABIHIN NIYO UMEEPEKTO QUARANTINE NIYO MGA PUTANGINA",1,1,TP
132,"wala naman talaga pero may tanga ikaw bakla walang pinanganak na bobo mabagal lang pumickup o tamad lang mag aral pala desisyon ka sa buhay mo sana hindi kana magising",0,0,TN
133,PUTANGINA MO BOBO KA BA DIRECT QUOTES ARE BEST SOURCE FOR NEWS PUTANGINA MO BAKIT DI MO SABIHIN SA DUTERTE NA BIBIG NIYA PANG TABLOID BECAUSE HE IS A MOTHERFUCKING STUPID BOOMER WHO CAN'T PROVIDE SOLUTIONS FOR THE PEOPLE OF THIS COUNTRY PAKYU,0,0,TN
134,SARAP SAKSAKIN SA MATA NUNG MGA BULAG,0,0,TN
135,"Hindi ako pupunta sa Pasig, Malabon and Mandaluyong branches PUTANGINA KANG SIRAULO KANG MONGOLOID PILOT KA. KAYA TAPUSIN MO ANG PA-MAINTENANCE MO PUTANGINA MO. AT HINDI AKO ISANG CHEF AT HINDI RIN AKO MAGTATAYO NG COFFEE SHOP. MAS LALONG HINDI AKO MAGTATRABAHO NG LIBRE FOR YOU.",0,1,FP
136,CHINGCHONG NUMBAH WAHN EATER! MUKBANG PA MORE MGA TANGA,0,0,TN
137,TANGINA MO DUTERTE ANONG KLASENG SPEECH YUN PURO GASLIGHTING HARAPANG GAGUHAN AMPUTA TANGINA MO NAMAMATAY MGA TAO TAPOS NAPAKABANAYAD PA RIN AMPUTA,1,1,TP
138,Older millennials and their judgy personalities. Tangina.,0,0,TN
139,“benta mo na sakin yung soot mong damit sa md mo” ulol pakyu ka maemae ang panget panget naman nga sayo nito aagawin mo,0,0,TN
140,La q pake kung matanda ka kingina mo. Makita lang kita ulit di aq papayag wala akong gawin sayong putang ina mo,0,0,TN
141,LAMBOT MO GAGO BINABAE KASI AMPUTA,0,0,TN
142,Feeling maganda ampota. Ang baho ng pekpek mo gago!,0,0,TN
143,youre so braindead ngl in other words in dota putangina mo ampota bobo mo bisaya ka,0,0,TN
144,Reyna bobo ka ulul pakyu masyado kang kampante tangina mo,1,0,FN
145,pinanganak kang bobo lalaki kang bobo mamamatay kang bobo,1,0,FN
146,ui neck deep pakinggan mo to pop punk posiposi manoverboard realfriends blablabla tangina muka kang jehova's witness na kumakatok sa pintuan,0,0,TN
147,Nakakahiya mga 35-44! Akala ko di kayo madadala ng fake news!! Nako nakakahiya kayo. We are millenials and naranasan na natin ang GMA presidency.,0,0,TN
148,hirap masangkot sa mga third party na issue potaena ako lagi una sinisisi kahit yung mga jowa naman nila yung may sabit umagang gaguhan ampota,1,1,TP
149,"ahahahaha ayan na sila wala daw dapat kulay, wag daw i-divide mga tao. KALA MO DI SILA NAG PAUSO NG DILAWAN AT CONSISTENTLY SOWING DIVISION? tapos ila-like ng mga ang boto ay ididikita ng kanilang relihiyon? tangina nyo mga boomer pakyu",0,0,TN
150,"Bisakol amputa"" pag nabobo ka pa alam mo na kung ano ka! -tamaan deads",0,0,TN
151,galit parin ako sa babaeng nagsabi na pick me girl daw ako kasi madaldal ako sa live chat pakyu sila,0,0,TN
152,"TANGINA MO EROS,KE BATA BATA MO PA KAWAWA NAMAN PALA TALAGA SI BEBE SKY NUNG TEENAGER KAYO…🫠🫠DESERVE MO KARMAHIN OKAY. ISA KA PA, ABISNAIL, NAMERLS, GRIPUHAN KITA JAN EH, PAKYU, ANG BOBO-BOBO N’YO NAMAN❓❗️❓❗️🤨😮‍💨🤯",0,0,TN
153,kasalanan mo to dutite tangina mo ka gago ka PAKYU mukha kang betamax,0,1,FP
154,PUTANGINANG ANOTHER CULT NA EL SHADDAI GAGO ANG DAMI NYONG NASCAM PUTACA BRO ELI,0,0,TN
155,"lumang meme pero pare, WEEDS AMPUTA tangina ano ka 15 years old? gago.",0,0,TN
156,Ang Tao ay ginawang dalawang kasarian lamang pero bakit gusto ng iba na Maging bakla at tomboy. Puta LGBT community pa kayong nalalaman eh. Lalaki pa rin naman kayo. Mga nagmamaganda ampota.,0,0,TN
157,Ikaw bobo ang taba taba mo panget na bobo pa amf,0,0,TN
158,Third World Republicans are the worst. Basta Born-Again masama ugal,0,0,TN
159,alexa pwede mo naman ibenta yong pamangkin mo kay kd parang vic sotto at pauline luna lang yan more than ang age gap pucha kang babae ka alexa wala kana talagang delikadesa pati pamangkin mo binebenta mo gago,0,0,TN
160,yung reklamador na bakla na gaya mo dapat tumitigil na sa pag hinga ang perfect niyo masyado eh putang ina mo gago ka kung hirap ka sa buhay magtrabaho ka di yun asa mo sa pangulo bobo,0,0,TN
161,"putang ina bat ang hirap pumasok sa gobyerno tang ina mo duterte tapos yan si bam ui may pangakong aayusin ang unemployment wow sakto sa eleksyon mo naisip gawin yan henyo ka pala, isakang pantas.tang ina nyo",1,1,TP
162,KALA MO MAGANDA TANGINA AMPANGET MO GAGO! PAKYU KPOKPOK FANS.,0,0,TN
163,Tangina Ang ingay mo para kang badjao wala ka namang tambol HAHAHHAAHHAHA bobita,0,0,TN
164,naniniwala ka pa bang mababago mo ang isang babaerong kupal,0,0,TN
165,shout out sayo kuyang nambastos sa akin kanina😁mamatay kana tanga kapag ako napuno sayo uuwi kang lumpo sa inyo😊,0,0,TN
166,"NEGRO AMPUTA! Hahahaha. Bei wag kasi magpainosente kunwari, magmamadre ka ba?",0,0,TN
167,Naiirita ko sa itsura ng gaga. Kamukhang kamukha niya yung bully ko nung highschool. HAHAHAHAHA. Yung mukhang mabait at kalma pero demonyo.,0,0,TN
168,pakyu liam mukha kang paa ng manok,0,0,TN
169,umay puro bobo kamampi sa ML HAHAHAH UWIAN MGA STUDYANTE POTA MAG ASSIGNMENT KAYO!!!,1,1,TP
170,tatanda niyo na para pa rin kayong tanga tangina niyo,0,1,FP
171,may nagsabi sa akin ng ganito dati. ulol. pakyu kaya ayoko sa mga lalaki eh.,0,0,TN
172,partida bobo daw 90 ave di pa nagawa module ngek kadiri talitalinuhan ambahi naman ng mukha parang baboy literal legit talaga alam mo yung nag lalakad na baboy yung nag katawan tao ganon pero feeling mayaman pero walang laman bulsa engk,0,0,TN
173,may pa i decided to be a lesbian kapang nalalaman ulol wag kame niloloko ka lang ng mga lalake kasalanan mo din yan.,0,0,TN
174,matangkad lang naman ‘yon at malaki ang katawan. pangit naman at bobo rin. bagay naman siguro sila. mga bobo,0,0,TN
175,"it's always the peenoise...... do not fucking speak over muslims 😭 kung ako sayo, manahimik ka nalang",0,0,TN
176,"TANGINA NG MANAGER NAMIN, HINDI MARUNONG MAG-MANAGE",1,1,TP
177,"U attack me through online and then U block , baklang bakla lng yarn? takot mabweltahan amputa hahahahaha",0,0,TN
178,pakyu kayong mga minors kayo yung tipong mamatay ka na lang tanga ka ,0,0,TN
179,"Ano kaya nararamdaman ng mga 🐸🐸🐸 ngayon??? Bulag at bingi pa din ba? Tanga-tangahan pa din?? Ito, 💣💣 itali sa self at pasabugin nyo!!",0,0,TN
180,FUCK JUST FUCKING GO BACK TO UR COUNTRIES YALL MUSLIMS IDONT FUCKING CARE KUNG DINIDILAAN NYO BA YANG MUHAMAD WHATSOEVER JUST GO DAMN TERRORISTS,0,0,TN
181,PUTANGINA HINDI DAW TAYO MALILIGTAS SILANG MGA IGLESIA LANG DAW TANGINAAAAA ANG CREEPY TALAGA NYA SINABIHAN KO NALANG SYA NA HINDI NGA AKO NAG SISIMBA SA KATOLIKO TAPOS AAKAYIN MO PA AKO!!! PAKYU KA! NEVER EVER NA MAG PAPAGUPIT SAYO,0,0,TN
182,Why do this so called adults hate on millennials like us eh PUTANGINA NAGING BATA DIN NAMAN KAYO BOBOBO NIYO TUMATANDANG PAURONG,0,0,TN
